PlayerId,ClubId,PlayerName,Citizenship,Date_of_birth,Position,Foot,Height_in_cm,Highest_market_value_in_gbp
31599,23,Norman Theuerkauf,Germany,1987-01-24,Defender,Left,183,1350000
18290,23,Matthias Henn,Germany,1985-04-28,Defender,Right,187,540000
12112,4750,Per Kroldrup,Denmark,1979-07-31,Defender,Right,194,6530000
6287,23,Marco Caligiuri,Germany,1984-04-14,Defender,Right,180,2250000
297006,2227,Grigori Kalyuzhny,Ukraine,1994-08-29,Attack,,181,
2386,23,Marjan Petkovic,Germany,1979-05-22,Goalkeeper,Right,186,450000
225616,855,Paul Babiloni,France,1990-01-16,Defender,Right,180,360000
45264,855,Thierry Argelier,France,1986-07-08,Defender,Right,183,540000
6274,855,Gregory Cerdan,France,1982-07-28,Defender,Right,190,2250000
1613,855,Vivian,Brazil,1982-04-05,Defender,,0,1350000
78390,23,Benjamin Later,Germany,1986-08-30,Goalkeeper,,0,113000
35405,23,Marc Pfitzner,Germany,1984-08-28,Midfield,Right,183,540000
1944,23,Deniz Dogan,Turkey,1979-10-20,Defender,,0,360000
140702,3691,Arbi Mezhiev,Russia,1993-06-29,Goalkeeper,Right,190,270000
308213,2292,Muhammed Akyildiz,Turkey,1995-09-01,Attack,Right,184,90000
193680,20100,Nikolaj Hansen,Denmark,1993-03-15,Attack,Right,192,203000
264770,2293,Ibrahim Alan,Turkey,1994-05-15,Attack,Right,0,315000
242235,1210,Elia Bruzzi,Italy,1995-04-08,Attack,,185,68000
110929,1210,Simone Dellagnello,Italy,1992-04-12,Attack,Right,185,270000
197480,800,Doudou Mangni,Italy,1993-03-29,Attack,Left,180,360000
34345,416,Ilyas Zeytulaev,Uzbekistan,1982-08-13,Attack,Right,179,180000
136114,800,Simone Magnaghi,Italy,1993-10-12,Attack,Right,188,383000
257127,252,Michael Ventre,Italy,1996-01-05,Attack,Right,175,135000
159153,252,Daniel Jara,Paraguay,1993-12-22,Attack,Right,183,90000
199795,252,William Lacerda,Brazil,1992-01-05,Attack,Right,181,135000
31493,5817,Rubin Okotie,Austria,1987-06-06,Attack,Both,188,1580000
50628,5817,Florian Hart,Austria,1990-05-11,Midfield,Right,178,360000
111042,4750,Jean Christophe Coubronne,France,1989-07-30,Defender,Right,180,270000
55597,23,Marcel Correia,Portugal,1989-05-16,Defender,Right,186,1170000
273949,141,Ibrahim Coskun,Turkey,1995-03-03,Midfield,Both,180,180000
8399,141,Engin Baytar,Turkey,1983-07-11,Midfield,Both,176,4950000
163675,1210,Filippo Moscati,Italy,1992-09-19,Attack,Both,181,203000
209864,410,Pape Dia,Senegal,1993-04-20,Attack,Left,183,68000
240218,252,Tiberio Velocci,Italy,1995-07-23,Attack,Right,178,180000
199793,252,Orlando Held,Italy,1994-03-03,Attack,Right,0,68000
35252,19771,Ozgur Can Ozcan,Turkey,1988-04-10,Attack,Right,184,900000
200119,19771,Gideon Sani,Nigeria,1990-06-08,Attack,Right,180,180000
114139,19771,Erkan Taskiran,Turkey,1985-04-22,Attack,Left,183,900000
265082,19771,Luciano Guaycochea,Argentina,1992-04-24,Attack,,178,495000
86506,19771,Alessandro Riedle,Germany,1991-08-14,Midfield,,179,270000
58861,19771,Emin Aladag,Turkey,1983-02-25,Midfield,Right,185,630000
69445,19771,Ivan Sesar,Bosnia-Herzegovina,1989-08-29,Midfield,Right,182,900000
163058,410,Fabinho,Brazil,1991-04-28,Attack,Left,178,720000
208602,19771,Can Bartu Gunes,Turkey,1993-03-10,Defender,Right,0,45000
28283,19771,Emrah Eren,Turkey,1978-11-13,Defender,Both,175,2250000
265092,19771,Ridvan Ozkan,Turkey,1994-02-01,Defender,Right,0,45000
238045,19771,Ahmet Cicek,Turkey,1995-02-23,Defender,Left,0,45000
197919,410,Ruben Dinca,Italy,1994-03-31,Attack,Left,177,113000
159809,19771,Gokhan Dincer,Turkey,1987-05-14,Defender,Left,0,225000
159890,19771,Serkan Yalcin,Turkey,1982-11-02,Defender,Left,183,180000
114739,19771,Oguzhan Azgar,Turkey,1993-07-14,Defender,Right,188,90000
159789,19771,Hakan Ates,Turkey,1988-05-13,Defender,Right,175,450000
208599,19771,Alican Candemir,Turkey,1993-02-08,Goalkeeper,Right,194,45000
76438,19771,Mustafa Asan,Turkey,1988-09-11,Midfield,Right,170,630000
60614,19771,Evren Ozyigit,Turkey,1986-01-01,Goalkeeper,Right,187,225000
54183,410,Maicosuel,Brazil,1986-06-16,Attack,Right,180,4050000
22169,5817,Kenneth Fabricius,Denmark,1981-11-03,Attack,Right,182,900000
213952,410,Filippo Berra,Italy,1995-02-06,Defender,Right,184,630000
123638,410,Frano Mlinar,Croatia,1992-03-30,Midfield,Right,182,900000
138394,410,Rosario Licata,Italy,1989-01-16,Defender,Left,184,68000
73408,410,Matias Campos Toro,Chile,1989-06-22,Defender,Left,176,1170000
240409,410,Marco Frison,Italy,1995-03-24,Defender,Right,183,68000
81192,410,Jean Alain Fanchone,France,1988-09-02,Defender,Left,175,1350000
197918,410,Luca Corrado,Italy,1994-04-12,Defender,Right,183,68000
85667,141,Serdar Eylik,Turkey,1990-02-01,Attack,Both,176,360000
241069,410,Alessandro Favaro,Italy,1995-07-18,Goalkeeper,Right,189,135000
163088,410,Simone Sbardella,Italy,1993-04-17,Defender,Right,180,135000
240397,410,Marco Bertoia,Italy,1995-05-24,Midfield,,180,68000
22469,5817,Jonas Troest,Denmark,1985-03-04,Defender,Right,185,1080000
168477,410,Jefferson Oliveira,Brazil,1990-02-25,Defender,Right,193,225000
288181,5817,Jorgen Simon Jorgensen,Denmark,1995-05-07,Goalkeeper,,0,45000
6046,252,Giuseppe Sculli,Italy,1981-03-23,Attack,Right,178,4500000
243819,252,Allan Blaze,France,1994-06-24,Midfield,Left,180,180000
138456,410,Wojciech Pawlowski,Poland,1993-01-18,Goalkeeper,Right,190,630000
104233,141,Guillermo Burdisso,Argentina,1988-09-26,Defender,Right,189,3150000
281658,252,Jami Rafati,Italy,1994-04-26,Midfield,Right,170,90000
214003,252,Guido Bennati,Italy,1994-03-23,Midfield,Right,175,68000
15888,252,Daniel Tőzser,Hungary,1985-05-12,Midfield,Left,187,3150000
248651,252,Luca Tagliavacche,Italy,1995-01-05,Midfield,Left,183,68000
290696,252,Enzo Di Santantonio,France,1995-07-11,Midfield,Right,179,158000
154215,252,Zaine Pierre,St. Lucia,1993-09-21,Midfield,Left,179,68000
83891,252,Felipe Seymour,Chile,1987-07-23,Midfield,Right,174,1350000
88712,252,Rodney Strasser,Sierra Leone,1990-03-30,Midfield,Right,181,2250000
204070,252,Paolo Sokoli,Albania,1995-03-29,Defender,,0,45000
240196,252,Francesco Di Marco,Italy,1995-07-28,Defender,Left,100,68000
242242,252,Lorenzo Gallotti,Italy,1995-07-03,Defender,,0,68000
260781,252,Francesco Todisco,Italy,1995-12-28,Defender,,0,68000
37889,252,Enis Nadarevic,Austria,1987-07-19,Attack,Left,184,1080000
13058,141,Emmanuel Eboue,Cote d'Ivoire,1983-06-04,Defender,Right,178,7200000
63254,252,Nicola Pasini,Italy,1991-04-10,Defender,Right,185,225000
182937,19771,Bekir Ozturk,Turkey,1988-06-25,Goalkeeper,Right,187,68000
78506,252,Diego Polenta,Uruguay,1992-02-06,Defender,Left,185,2480000
163078,410,Davide Marsura,Italy,1994-02-20,Attack,Both,187,720000
113612,416,Sergiu Suciu,Romania,1990-05-08,Midfield,Right,184,360000
234884,252,Giacomo Lucarini,Italy,1995-05-02,Defender,Right,190,68000
287254,416,Alessandro Comentale,Italy,1995-01-25,Midfield,Right,170,68000
163597,416,Filippo Scaglia,Italy,1992-01-31,Defender,Right,190,1080000
186380,252,Jakub Hromada,Slovakia,1996-05-25,Midfield,Right,180,1350000
199001,416,Umberto Saracco,Italy,1994-04-10,Goalkeeper,Right,190,135000
249166,416,Marco Sordi,Italy,1995-09-07,Goalkeeper,,0,45000
163628,6574,Riccardo Barbuti,Italy,1992-03-12,Attack,Right,185,180000
82751,6574,Gaetano Masucci,Italy,1984-10-26,Attack,Right,172,810000
208693,6574,Aladje,Portugal,1993-10-22,Attack,Left,187,360000
199040,6574,Lorenzo Lari,Italy,1994-10-07,Midfield,,0,68000
240658,6574,Eros Castelletto,Italy,1995-08-11,Midfield,Right,175,68000
163627,6574,Lorenzo Bambozzi,Italy,1994-07-26,Midfield,Left,178,113000
167853,252,Alberto Marchiori,Italy,1993-05-11,Defender,Right,195,135000
43085,6574,Tommaso Bianchi,Italy,1988-11-01,Midfield,Right,188,1080000
199064,6574,Daniele Vacondio,Italy,1994-04-01,Defender,Left,177,45000
163630,6574,Luca Benedetti,Italy,1992-06-09,Defender,Right,0,113000
41935,6574,Lino Marzorati,Italy,1986-10-12,Defender,Right,184,3600000
10152,19771,Cagdas Atan,Turkey,1980-02-28,Defender,Left,187,2700000
9915,6574,Reto Ziegler,Switzerland,1986-01-16,Defender,Left,183,7380000
240675,6574,Simone Perilli,Italy,1995-01-07,Goalkeeper,Right,195,270000
85603,800,Matteo Ardemagni,Italy,1987-03-26,Attack,Right,185,2700000
199800,252,Andrea Tufano,Italy,1994-10-08,Goalkeeper,,0,45000
22130,6574,Carl Valeri,Australia,1984-08-14,Midfield,Right,183,1800000
163565,800,Leonardo Gatto,Italy,1992-04-28,Attack,Right,179,990000
62751,800,Giuseppe De Luca,Italy,1991-10-11,Attack,Both,168,3600000
197484,800,Federico Varano,Italy,1995-01-31,Attack,Left,180,203000
124155,6574,Lorenzo Laverone,Italy,1989-04-19,Defender,Right,177,720000
287681,800,Gianluca Barba,Italy,1995-02-28,Midfield,Left,172,270000
163549,416,Marco Chiosa,Italy,1993-11-19,Defender,Left,181,720000
140189,252,Kevin Vinetot,France,1988-06-14,Defender,Right,187,1170000
163581,800,Nadir Minotti,Italy,1992-05-16,Midfield,Right,188,810000
163553,800,Carlo Cremaschi,Italy,1992-01-27,Defender,Right,180,68000
200117,800,Valerio Nava,Italy,1994-01-17,Defender,Both,191,180000
95234,800,Simone Emmanuello,Italy,1994-04-25,Midfield,Right,186,675000
25318,800,Matteo Contini,Italy,1980-04-16,Defender,Left,184,3600000
5507,800,Mario Yepes,Colombia,1976-01-13,Defender,,0,9000000
197482,800,Antonio Palma,Italy,1994-01-03,Midfield,Right,170,338000
211397,1210,Miguel Borja,Colombia,1993-01-26,Attack,Right,183,4500000
197333,800,Ruben Bentancourt,Uruguay,1993-03-02,Attack,Right,184,1350000
66022,1210,Innocent Emeghara,Switzerland,1989-05-27,Attack,Right,170,4500000
29424,1210,Paulinho,Brazil,1986-01-10,Attack,Right,176,7650000
240129,1210,Tommaso Biasci,Italy,1994-11-10,Attack,Right,182,360000
240077,1210,Daniele Bartolini,Italy,1995-03-05,Midfield,Right,176,68000
163676,1210,Marco Moscati,Italy,1992-11-01,Midfield,Right,180,720000
207943,800,Joakim Olausson,Sweden,1995-01-14,Midfield,Left,182,135000
132002,1210,Jonny Mosquera,Colombia,1991-02-17,Midfield,Right,172,630000
47646,1210,Marco Biagianti,Italy,1984-04-19,Midfield,Right,180,3780000
